danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,album_name,artist_name
0.391,0.678,10,-8.773,1,0.306,0.273,0.000257,0.0965,0.245,96.221,audio_features,4JaTNsbucUxF3FtKqt3IY3,spotify:track:4JaTNsbucUxF3FtKqt3IY3,https://api.spotify.com/v1/tracks/4JaTNsbucUxF3FtKqt3IY3,https://api.spotify.com/v1/audio-analysis/4JaTNsbucUxF3FtKqt3IY3,252093,4,Strawberry Fields Forever - 2015 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.647,0.505,9,-8.26,1,0.0351,0.0715,0.00281,0.184,0.682,113.225,audio_features,5M8s9X2vuW1tv52uv4meCt,spotify:track:5M8s9X2vuW1tv52uv4meCt,https://api.spotify.com/v1/tracks/5M8s9X2vuW1tv52uv4meCt,https://api.spotify.com/v1/audio-analysis/5M8s9X2vuW1tv52uv4meCt,180947,4,Penny Lane - 2017 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.368,0.825,7,-7.758,1,0.0997,0.0308,0.02,0.908,0.524,95.686,audio_features,5GuGzaaKHoOR3amXgvT2Pq,spotify:track:5GuGzaaKHoOR3amXgvT2Pq,https://api.spotify.com/v1/tracks/5GuGzaaKHoOR3amXgvT2Pq,https://api.spotify.com/v1/audio-analysis/5GuGzaaKHoOR3amXgvT2Pq,122120,4,Sgt. Pepper's Lonely Hearts Club Band - 2017 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.673,0.586,4,-7.946,1,0.0302,0.133,0.0,0.252,0.732,112.24,audio_features,0Q6YQlQHdFd6NfXjcHtijM,spotify:track:0Q6YQlQHdFd6NfXjcHtijM,https://api.spotify.com/v1/tracks/0Q6YQlQHdFd6NfXjcHtijM,https://api.spotify.com/v1/audio-analysis/0Q6YQlQHdFd6NfXjcHtijM,164373,4,With A Little Help From My Friends - 2017 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.244,0.539,11,-6.984,0,0.0457,0.154,0.0,0.182,0.429,187.861,audio_features,4GX8I8c7gMZn7mZFM9QAs0,spotify:track:4GX8I8c7gMZn7mZFM9QAs0,https://api.spotify.com/v1/tracks/4GX8I8c7gMZn7mZFM9QAs0,https://api.spotify.com/v1/audio-analysis/4GX8I8c7gMZn7mZFM9QAs0,210453,4,Lucy In The Sky With Diamonds - 2017 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.294,0.508,6,-9.504,1,0.0342,0.472,0.00033,0.0786,0.324,125.012,audio_features,6TiJhvluwaDgyymGDY2y3m,spotify:track:6TiJhvluwaDgyymGDY2y3m,https://api.spotify.com/v1/tracks/6TiJhvluwaDgyymGDY2y3m,https://api.spotify.com/v1/audio-analysis/6TiJhvluwaDgyymGDY2y3m,311053,4,Within You Without You - 2017 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.352,0.359,4,-12.626,0,0.0285,0.184,0.000271,0.118,0.215,79.387,audio_features,58XoFUU8BAw3HIfMLSIxiL,spotify:track:58XoFUU8BAw3HIfMLSIxiL,https://api.spotify.com/v1/tracks/58XoFUU8BAw3HIfMLSIxiL,https://api.spotify.com/v1/audio-analysis/58XoFUU8BAw3HIfMLSIxiL,307667,4,A Day In The Life - 2017 Remix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.401,0.539,7,-8.023,1,0.0342,0.417,1.92e-06,0.255,0.65,102.401,audio_features,1oycjiD4UpkHWxlegeYGzB,spotify:track:1oycjiD4UpkHWxlegeYGzB,https://api.spotify.com/v1/tracks/1oycjiD4UpkHWxlegeYGzB,https://api.spotify.com/v1/audio-analysis/1oycjiD4UpkHWxlegeYGzB,229480,4,All You Need Is Love - 2015 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.405,0.67,9,-9.234,1,0.0668,0.0476,0.0,0.28,0.527,87.574,audio_features,64djpfqsxS3NG8Mofw3PGT,spotify:track:64djpfqsxS3NG8Mofw3PGT,https://api.spotify.com/v1/tracks/64djpfqsxS3NG8Mofw3PGT,https://api.spotify.com/v1/audio-analysis/64djpfqsxS3NG8Mofw3PGT,275733,4,I Am The Walrus - 2023 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.495,0.75,0,-7.239,1,0.0257,0.381,7.69e-06,0.269,0.659,99.32,audio_features,4DbwxGR1g52bhICLYdVjK1,spotify:track:4DbwxGR1g52bhICLYdVjK1,https://api.spotify.com/v1/tracks/4DbwxGR1g52bhICLYdVjK1,https://api.spotify.com/v1/audio-analysis/4DbwxGR1g52bhICLYdVjK1,209707,4,"Hello, Goodbye - 2015 Mix",The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.43,0.381,2,-9.39,1,0.0283,0.923,6.02e-05,0.177,0.527,144.473,audio_features,4L3YeW5FI2GrRuL1dfr483,spotify:track:4L3YeW5FI2GrRuL1dfr483,https://api.spotify.com/v1/tracks/4L3YeW5FI2GrRuL1dfr483,https://api.spotify.com/v1/audio-analysis/4L3YeW5FI2GrRuL1dfr483,180307,4,The Fool On The Hill - 2023 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
