danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,album_name,artist_name
0.474,0.475,1,-10.794,1,0.0725,0.143,3.27e-05,0.0697,0.412,97.078,audio_features,1BeY3p2ePpoDOmlRh3jirM,spotify:track:1BeY3p2ePpoDOmlRh3jirM,https://api.spotify.com/v1/tracks/1BeY3p2ePpoDOmlRh3jirM,https://api.spotify.com/v1/audio-analysis/1BeY3p2ePpoDOmlRh3jirM,229413,4,Tudo Que Eu Não Fiz,<atrás/além>,O Terno
0.452,0.291,5,-12.225,1,0.0277,0.252,1.81e-06,0.0581,0.465,102.467,audio_features,5wyifj9jya5OUkuTKLFIhn,spotify:track:5wyifj9jya5OUkuTKLFIhn,https://api.spotify.com/v1/tracks/5wyifj9jya5OUkuTKLFIhn,https://api.spotify.com/v1/audio-analysis/5wyifj9jya5OUkuTKLFIhn,281427,4,Pegando Leve,<atrás/além>,O Terno
0.339,0.238,5,-13.013,0,0.0369,0.47,0.00256,0.11,0.259,147.514,audio_features,47IUIfhXXyhaILLcAE7LbL,spotify:track:47IUIfhXXyhaILLcAE7LbL,https://api.spotify.com/v1/tracks/47IUIfhXXyhaILLcAE7LbL,https://api.spotify.com/v1/audio-analysis/47IUIfhXXyhaILLcAE7LbL,198760,3,Eu Vou,<atrás/além>,O Terno
0.462,0.226,10,-12.662,1,0.0507,0.15,7.43e-06,0.0932,0.294,122.176,audio_features,6Z3f0928xX4juzdHV7xP3f,spotify:track:6Z3f0928xX4juzdHV7xP3f,https://api.spotify.com/v1/tracks/6Z3f0928xX4juzdHV7xP3f,https://api.spotify.com/v1/audio-analysis/6Z3f0928xX4juzdHV7xP3f,251533,4,Atrás / Além,<atrás/além>,O Terno
0.281,0.239,9,-14.07,0,0.0319,0.463,4.56e-05,0.253,0.218,80.731,audio_features,0qtYehIhoNRaVIryLnbp7O,spotify:track:0qtYehIhoNRaVIryLnbp7O,https://api.spotify.com/v1/tracks/0qtYehIhoNRaVIryLnbp7O,https://api.spotify.com/v1/audio-analysis/0qtYehIhoNRaVIryLnbp7O,256507,4,Nada / Tudo,<atrás/além>,O Terno
0.529,0.197,11,-14.24,0,0.0625,0.675,4.11e-05,0.102,0.218,75.662,audio_features,0Tetrw2nzH22LpHSDhOUIe,spotify:track:0Tetrw2nzH22LpHSDhOUIe,https://api.spotify.com/v1/tracks/0Tetrw2nzH22LpHSDhOUIe,https://api.spotify.com/v1/audio-analysis/0Tetrw2nzH22LpHSDhOUIe,289347,4,Pra Sempre Será,<atrás/além>,O Terno
0.585,0.347,4,-13.157,0,0.0925,0.454,1.66e-06,0.107,0.501,109.214,audio_features,5CAztXp7af5FZR9Gbnnwk2,spotify:track:5CAztXp7af5FZR9Gbnnwk2,https://api.spotify.com/v1/tracks/5CAztXp7af5FZR9Gbnnwk2,https://api.spotify.com/v1/audio-analysis/5CAztXp7af5FZR9Gbnnwk2,195067,4,Volta e Meia,<atrás/além>,O Terno
0.584,0.521,8,-10.543,1,0.0518,0.056,0.00271,0.108,0.524,108.244,audio_features,4BJZ7peGeJMaEDStS65Mol,spotify:track:4BJZ7peGeJMaEDStS65Mol,https://api.spotify.com/v1/tracks/4BJZ7peGeJMaEDStS65Mol,https://api.spotify.com/v1/audio-analysis/4BJZ7peGeJMaEDStS65Mol,227093,4,Bielzinho / Bielzinho,<atrás/além>,O Terno
0.432,0.146,9,-20.572,1,0.0442,0.795,0.255,0.315,0.222,131.802,audio_features,4SKxVMudEht2BpTmYaMBVP,spotify:track:4SKxVMudEht2BpTmYaMBVP,https://api.spotify.com/v1/tracks/4SKxVMudEht2BpTmYaMBVP,https://api.spotify.com/v1/audio-analysis/4SKxVMudEht2BpTmYaMBVP,250427,3,O Bilhete,<atrás/além>,O Terno
0.263,0.257,0,-9.812,1,0.0509,0.37,0.000232,0.0713,0.134,75.109,audio_features,4xg8qn5kxOIpMIOomTIGHm,spotify:track:4xg8qn5kxOIpMIOomTIGHm,https://api.spotify.com/v1/tracks/4xg8qn5kxOIpMIOomTIGHm,https://api.spotify.com/v1/audio-analysis/4xg8qn5kxOIpMIOomTIGHm,291373,1,Profundo / Superficial,<atrás/além>,O Terno
